sites,start,end,N,latitude,longitude
5455100,2012,2015,3,41.60640556,-91.6157222
5481000,2012,2017,5,42.4319722,-93.8059444
5464420,2012,2019,7,42.06916389,-91.7851806
5484500,2013,2019,6,41.53402778,-93.9497778
